id	local_path	size_bytes	sha256	url	license
libreoffice-activex-label	pptx/libreoffice/libreoffice-activex-label.pptx	39637	719008acc7593bca2517f3e105aa0b287139bfb035685dd232ed1decfeeabc5d	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_label.pptx	MPL-2.0
libreoffice-activex-listbox	pptx/libreoffice/libreoffice-activex-listbox.pptx	39370	b516d70f2a979b11063d6989ba3511ffa320e294c20a13e135a4811dd342e931	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_listbox.pptx	MPL-2.0
libreoffice-activex-option-button-group	docx/libreoffice/libreoffice-activex-option-button-group.docx	15877	fa9616805e80cd5015a3593f82624048d205855928d335631face8a697255cda	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/activex_option_button_group.docx	MPL-2.0
libreoffice-activex-optionbutton	pptx/libreoffice/libreoffice-activex-optionbutton.pptx	39586	58ea170b5e0c2eefebdf8e50c02883411c1c562a6dabf3dd775146a43498a5b9	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_optionbutton.pptx	MPL-2.0
libreoffice-activex-picture	pptx/libreoffice/libreoffice-activex-picture.pptx	236898	90a9425724f4e0be685a0b356fc38f3c3106af803b1dc456190515106d5d40d7	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_picture.pptx	MPL-2.0
libreoffice-activex-scrollbar	pptx/libreoffice/libreoffice-activex-scrollbar.pptx	39882	1c59308a5f91d3f8def5c1289cbba6f15f409a51abb521d6a30cb729f08ba849	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_scrollbar.pptx	MPL-2.0
libreoffice-activex-spinbutton	pptx/libreoffice/libreoffice-activex-spinbutton.pptx	40850	f9fb67f442d991b3c3a968f4f04c8623533be6938e29a915beb900a9f95853d1	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_spinbutton.pptx	MPL-2.0
libreoffice-activex-textbox	docx/libreoffice/libreoffice-activex-textbox.docx	16937	c270867d5db9cb6e8d7da4ad4e45e378053e48912a020fa4fe253a8e344ce90e	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/activex_textbox.docx	MPL-2.0
libreoffice-activex-textbox-2	pptx/libreoffice/libreoffice-activex-textbox-2.pptx	41657	43bf98bc9e83f72757d492d344a57b5cccd68dcaed59468e96cddb222f0b9fb7	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_textbox.pptx	MPL-2.0
libreoffice-activex-togglebutton	pptx/libreoffice/libreoffice-activex-togglebutton.pptx	39698	a5f22c89a3c1075469c3ca890d1bb6cdd0c9c8fd0462f776da7a2017f207833d	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_togglebutton.pptx	MPL-2.0
libreoffice-afterlines	docx/libreoffice/libreoffice-afterlines.docx	12622	fe56a94e9a14170ea7c2290e485da79d00e9925498f1b8215c657d583aa32f91	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/afterlines.docx	MPL-2.0
libreoffice-all-gaps-word	docx/libreoffice/libreoffice-all-gaps-word.docx	10226	8bda43bfdf8e424c49eb870e685713346ee817b9a725a7d59694f00a35635790	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/all_gaps_word.docx	MPL-2.0
libreoffice-alphabeticalindex-autocolumn	docx/libreoffice/libreoffice-alphabeticalindex-autocolumn.docx	15891	753422c49f8540ce7144aa6e6c6567ece777414d1a7e1eac37a0cae0ed6e50aa	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/alphabeticalIndex_AutoColumn.docx	MPL-2.0
libreoffice-alphabeticalindex-multiplecolumns	docx/libreoffice/libreoffice-alphabeticalindex-multiplecolumns.docx	15937	2cc18cbc17a59cd6184009b7c225f8843113aa0f2f35bca6abecb2620c1ad07d	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/alphabeticalIndex_MultipleColumns.docx	MPL-2.0
libreoffice-altdescription	pptx/libreoffice/libreoffice-altdescription.pptx	156788	cc98df9900ffdbfb6a8c27e8f150e137148cf5a1ed07b4ba28b55ab068dabac5	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/altdescription.pptx	MPL-2.0
libreoffice-anchor-position	docx/libreoffice/libreoffice-anchor-position.docx	14599	0eec40e74ae607731e34da2e0b7ba09ee6673906ffc87db85ddf2fc8e8877994	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/anchor-position.docx	MPL-2.0
