id	local_path	family	producer	producer_detail	lineage	holdout	origin	url	license	rights_basis	source_project	source_ref
libreoffice-animation-sound-external	pptx/libreoffice/libreoffice-animation-sound-external.pptx	pptx	no Application recorded	the package carries no docProps/app.xml	LibreOffice/core:pptx:animation-sound-external	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/animation-sound-external.pptx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-annotation-formatting	docx/libreoffice/libreoffice-annotation-formatting.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 14.0000)	LibreOffice/core:docx:annotation-formatting	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/annotation-formatting.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-arc-validiert	pptx/libreoffice/libreoffice-arc-validiert.pptx	pptx	Microsoft Office	Microsoft Office PowerPoint (AppVersion 16.0000)	LibreOffice/core:pptx:arc-validiert	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/arc-validiert.pptx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-artistic-effects	docx/libreoffice/libreoffice-artistic-effects.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 16.0000)	LibreOffice/core:docx:artistic_effects	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/artistic_effects.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-author-property	docx/libreoffice/libreoffice-author-property.docx	docx	Microsoft Office	Microsoft Office Word (AppVersion 15.0000)	LibreOffice/core:docx:author-property	yes	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/author-property.docx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-autofilter	xlsx/libreoffice/libreoffice-autofilter.xlsx	xlsx	LibreOffice	LibreOfficeDev/5.4.0.0.alpha0$Linux_X86_64 LibreOffice_project/fa8c6d612207ac0c8d628eb73e560b0b019c5	LibreOffice/core:xlsx:autofilter	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/autofilter.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-autofilter-colors	xlsx/libreoffice/libreoffice-autofilter-colors.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 15.0300)	LibreOffice/core:xlsx:autofilter-colors	yes	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/autofilter-colors.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-autofilter-colors-fg	xlsx/libreoffice/libreoffice-autofilter-colors-fg.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 15.0300)	LibreOffice/core:xlsx:autofilter-colors-fg	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/autofilter-colors-fg.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-autofilternamedrange	xlsx/libreoffice/libreoffice-autofilternamedrange.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 16.0300)	LibreOffice/core:xlsx:autofilternamedrange	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/autofilternamedrange.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
libreoffice-autofiltershowbutton	xlsx/libreoffice/libreoffice-autofiltershowbutton.xlsx	xlsx	Microsoft Office	Microsoft Excel (AppVersion 16.0300)	LibreOffice/core:xlsx:autofiltershowbutton	no	upstream test corpus	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	MPL-2.0	LibreOffice core QA fixtures published under the Mozilla Public License 2.0 in the project repository	LibreOffice/core	dd2838cc25c38327617bb9d3b2d9b9c72b893828
